59
30 103 -190 485 -123 -202 -212 65 -389 121 128 -98 72 157 -148 -603 -384 -6 -180 -629 -42 68 301 -607 595 335 217 -449 -25 445 188 57 -176 -129 -286 -164 553 -149 -148 -131 -571 173 -186 338 -238 170 -349 -31 468 -116 14 -183 292 76 -212 -366 -75 -57 106 
-207 448 -383 50 -11 335 -398 16 -94 218 480 -61 528 185 143 -389 -265 396 -53 -97 586 175 82 -440 483 -572 -123 -366 464 163 290 -225 -49 1 174 -136 159 -158 222 -107 -69 31 -191 397 -291 -161 -71 325 11 -72 609 442 271 4 163 38 280 330 342 
49 134 308 -477 -250 403 -151 536 -371 325 -7 -172 184 -52 -312 -19 -125 252 -373 -64 55 155 -99 72 49 -630 64 -142 193 -528 -103 -37 141 12 48 11 -442 135 -410 -246 161 -277 292 131 -456 -531 141 188 -131 -515 -126 -359 -79 -308 350 141 782 394 659 
-149 -130 192 -386 33 323 -102 321 -469 216 -346 -143 -467 560 -643 -113 -219 -305 -31 -228 111 -85 56 718 -326 685 -255 105 -106 -340 -175 -229 110 -402 421 84 -191 576 -521 30 331 -128 81 4 91 -43 -42 -329 -242 -466 -87 -4 -342 -485 128 -153 244 -157 444 
-78 -83 179 -406 -106 523 -488 299 -751 223 -145 -602 500 313 -193 -35 -90 -112 -173 140 -108 185 8 42 64 140 80 -102 291 -40 93 -223 -4 -204 766 -22 -32 89 -81 -610 -332 -427 249 -453 -298 -16 -143 56 -96 -292 -51 15 -216 -304 -141 -264 664 -818 210 
-83 317 -488 61 -171 35 32 -507 -117 -705 136 -291 183 -151 511 132 107 232 -92 -56 -443 440 -404 -241 354 -210 -628 -78 13 343 301 347 -182 17 -73 -79 643 -319 252 -647 -443 -6 -314 -644 27 -63 332 -70 94 328 85 265 -182 559 -232 -238 -124 -577 -17 
120 -307 -48 293 -158 -286 -559 49 225 -495 -95 -403 -121 385 18 -62 48 -271 227 -82 71 -470 791 -247 340 139 545 302 -563 542 -108 122 194 287 -223 29 386 105 -147 287 -405 21 82 55 -203 480 3 -326 225 743 -209 61 214 316 -616 -46 -239 44 -929 
-343 339 -98 -36 1 118 445 -310 -4 575 195 -100 159 -130 -213 135 89 -118 166 -128 394 78 -171 -192 -518 528 -1001 -150 94 81 190 -271 -396 -380 247 123 44 -83 285 225 209 -4 -871 215 19 -86 155 590 -530 -122 427 537 -67 -557 30 184 395 188 118 
125 -321 655 109 -276 -842 469 -6 -268 704 -388 69 -314 187 -299 -40 136 -37 -293 -878 -372 114 -136 -112 -87 496 112 -289 -431 -213 93 253 339 -63 -197 -3 425 296 -236 -254 -435 37 -428 680 -6 -384 -82 -106 131 -138 -196 -107 -20 -433 220 39 937 119 109 
196 -38 -109 -217 361 -177 -14 -253 225 74 -19 286 30 -573 525 379 291 -273 127 507 -402 -458 -36 322 -457 -158 248 674 321 -106 -509 94 -395 -376 -51 -137 -90 104 -160 -266 -63 -154 376 -1096 175 352 -224 -136 18 -71 -274 -472 -600 89 -126 -118 -711 213 190 
-187 229 382 85 -271 88 -212 493 161 -244 -330 -612 198 -62 -354 -247 -148 -301 -104 -291 375 21 729 -211 -127 -336 76 -322 -366 -311 -355 -609 -351 80 -210 28 -608 -73 -28 834 215 45 -38 735 -535 -238 240 -50 -149 -9 46 -401 542 -20 -13 -322 146 358 75 
-186 -356 507 -132 459 550 303 518 -11 -25 58 215 195 250 220 182 -307 191 -215 1006 74 -28 -19 375 177 436 602 -197 445 -132 628 -58 255 104 731 186 -664 -17 -1 -136 370 -271 256 308 208 -178 -33 -17 -193 199 256 33 126 -121 456 296 411 -260 369 
-101 180 434 -165 -200 -85 100 -306 272 91 218 -144 127 -331 94 4 146 -49 -350 -117 -109 289 -694 37 -536 76 -207 -233 -39 -344 257 -135 191 -309 -190 420 -451 114 -167 145 464 -408 -788 663 11 -532 19 472 -280 -234 3 164 486 -441 670 -234 520 -320 320 
136 -438 381 49 -283 -372 190 639 97 -395 -173 -517 357 -56 188 28 463 -53 -345 -384 -536 438 214 59 -368 -463 287 -255 9 104 11 -339 102 320 -301 272 -110 -147 -110 122 166 111 467 -312 -248 -215 96 484 440 180 -451 -342 12 305 -131 -671 320 -702 -575 
-14 -117 881 -179 -50 -136 -220 -140 292 -816 110 -44 367 184 182 -88 280 242 166 658 337 50 210 314 -247 -55 -174 315 -112 -203 553 7 570 127 296 354 157 399 208 -73 176 98 333 -164 75 -11 -71 61 -194 835 39 863 -165 -118 -135 -117 732 -582 -584 
108 -130 202 -500 -6 615 -201 882 -411 -313 131 -20 -403 311 -296 -707 44 17 -185 136 197 -79 -159 456 -237 371 -549 -85 -334 -364 264 -146 54 -189 379 183 -339 -153 -41 -110 606 -85 519 -444 -197 241 331 424 -119 -364 -229 189 228 -228 -69 250 829 -53 -17 
-254 173 309 -89 164 -853 239 -361 -191 79 252 783 -331 -112 -25 -476 306 -11 101 -272 203 -38 367 -510 -76 507 -98 -377 -124 -76 80 -541 -162 -423 -168 -619 751 -417 524 -456 -595 400 -64 572 -38 266 -198 -410 -173 144 468 112 85 219 -357 94 98 591 204 
236 -18 -23 -695 337 -256 -374 167 -433 -71 -150 -89 -398 397 335 -172 216 -429 -120 -265 -246 -231 -329 131 -267 313 369 25 179 -92 -122 -683 141 -333 305 -582 -5 297 -528 5 -111 -752 -352 41 -68 286 -15 112 237 -352 -124 39 -82 246 516 -191 -217 -211 640 
-76 357 -157 270 248 82 12 -63 9 -865 30 -45 846 596 851 -891 185 308 -310 -52 272 291 -197 -12 247 -203 -15 -471 -1 358 299 279 51 -81 43 -24 718 -10 253 345 -347 408 -219 -168 186 103 -304 606 396 356 376 760 146 107 286 -381 -193 -177 253 
-46 -2 -351 135 143 737 -192 349 -144 -313 -435 -472 -108 262 -102 314 -532 -26 24 -205 -188 -281 -75 -4 215 62 -165 320 -148 -96 -239 122 -491 -187 486 -413 -386 103 -389 177 -246 -373 -242 -70 -47 401 426 -362 -783 -149 -214 -317 -580 -426 164 -62 330 55 931 
231 131 145 -630 451 -79 236 -54 -460 74 -268 -159 322 -744 -201 390 -114 -236 401 382 12 372 50 281 225 -702 -22 -158 785 -335 -409 19 -43 126 -24 -342 -140 -18 105 -96 199 -219 917 -759 -376 -20 105 196 477 -142 -211 -792 -440 503 159 162 -220 -316 402 
-17 365 382 -456 169 179 217 387 -90 524 710 378 82 -846 -702 -165 -464 431 -35 169 292 5 106 -470 -332 68 80 -188 434 -239 660 -378 -109 -37 -167 -163 -402 -473 140 87 455 -30 129 161 -307 -74 179 820 746 -210 -111 -142 596 -409 27 588 -127 798 115 
242 -388 182 261 266 -66 731 290 261 415 -65 130 59 305 -64 -84 -362 403 -48 -300 -271 -176 -675 352 -270 987 -208 -558 -223 434 661 -366 173 262 323 80 38 55 -63 333 4 223 -611 200 355 48 488 462 70 212 -105 555 -295 -461 347 421 468 232 390 
-75 232 302 -207 303 32 -187 -329 57 378 0 261 519 -375 -69 -148 -89 215 -168 -362 186 -183 68 -164 -343 -354 140 -646 758 -386 -36 -541 111 -652 -55 18 -101 -50 100 -208 -255 29 155 148 -261 14 49 -6 -408 161 -87 -135 -114 -948 610 295 353 535 1012 
-80 458 -211 273 -387 503 383 -101 129 598 46 -103 -311 -375 -486 -331 -548 327 0 -27 507 177 -316 -80 -18 325 -520 -467 -68 214 211 93 -40 606 -8 -11 -23 522 47 -19 62 586 -748 506 33 -557 206 84 35 -334 256 343 594 -138 -195 484 -232 174 457 
-39 660 -365 294 85 334 -57 -526 19 654 142 -329 345 -140 134 -298 -258 -78 132 -232 -331 26 -626 -336 163 177 28 -199 289 447 -121 -27 22 352 210 -116 331 159 526 -113 -653 -100 -249 -607 -472 166 107 272 573 -236 -303 -85 409 -66 -285 132 -1128 -619 -187 
-30 7 -422 105 24 163 -53 -34 460 -265 321 96 -290 -812 55 213 -545 69 -19 792 379 158 -248 260 -483 222 -1 129 -211 -68 582 -147 -175 370 -424 146 -432 176 119 300 775 550 -52 17 394 130 -148 150 445 138 -33 -58 104 495 -214 14 -589 -365 -612 
74 -118 104 -450 -3 -20 -322 203 -685 449 -341 244 -52 2 -285 -479 97 -403 -64 -170 430 80 -593 329 53 89 -142 -420 -159 -524 -369 100 361 -562 399 48 -356 29 -2 -513 484 13 4 540 176 -449 -132 -408 -569 -129 193 147 264 220 559 73 524 46 381 
339 -128 -99 100 115 -276 545 289 -424 409 -299 67 -273 293 -337 -135 338 -76 30 -196 30 517 470 -319 -437 813 512 -244 132 575 -239 -310 53 282 188 -108 282 -39 50 -193 -354 387 -289 -47 379 -22 -365 533 820 -562 191 219 201 -181 -295 33 264 144 79 
127 29 -108 100 56 71 56 329 -789 -215 406 366 -66 32 17 -352 216 724 402 -118 152 486 -530 -129 391 46 -233 -406 398 276 115 -639 -202 142 307 -389 201 -654 294 33 -56 211 44 90 508 -42 -252 47 164 -444 211 478 -737 600 12 -489 -209 538 335 
-90 -18 -267 419 366 -143 -239 -197 371 -326 -320 218 97 504 199 110 -71 -71 503 -238 594 -348 1000 17 385 -406 22 663 -44 -321 149 -256 -241 -187 461 -343 -60 -71 -210 471 106 365 232 255 385 339 51 -144 -307 359 415 747 98 -117 558 292 -560 329 218 
-351 204 -728 284 270 441 -669 135 159 -445 -44 -139 520 678 -54 -7 -499 -353 257 -252 -192 68 132 -352 -256 -339 585 443 170 466 -282 -163 -11 -404 288 300 -366 -586 151 47 70 298 51 -21 565 554 -198 63 117 -132 284 596 -96 -175 402 -378 -1101 -577 -92 
-498 582 90 -458 -857 45 -605 -552 -194 -361 83 -612 542 -32 8 -281 117 297 281 61 -53 -130 435 -870 16 -671 128 659 -81 -31 204 186 51 164 -223 -240 592 316 -437 -483 -710 -9 -28 -349 -490 -251 -229 -20 13 -397 303 523 456 -106 -485 -322 87 -128 502 
501 155 1098 277 509 -484 -110 119 -21 -223 -68 -515 -375 263 217 -466 -12 -360 362 56 478 -112 398 298 143 216 -90 -75 -17 258 236 -294 151 -197 -17 272 -134 -3 297 796 246 -365 -589 725 -98 -3 323 -74 220 397 443 441 453 -371 449 -14 706 -66 -135 
