50
-69 -361 214 -78 321 58 -5 302 109 347 127 -436 -298 101 -395 -459 48 140 129 83 436 -361 -447 -16 -263 198 69 93 254 75 15 -249 -408 -249 -287 -281 248 -210 267 -466 206 523 56 7 -485 205 310 238 -209 232 
-129 272 -201 116 -59 336 196 57 -313 -46 -132 177 -164 -684 805 93 366 65 -76 63 -424 -852 446 -1 236 -142 -281 70 -215 -401 -55 177 473 499 98 214 113 -64 -519 78 -257 -393 -267 -49 -166 38 -132 -61 -267 55 
20 -141 14 -518 -51 -89 96 117 19 -156 -91 9 -422 287 -253 331 -58 383 -233 103 482 1083 -150 -104 -66 -26 -88 -269 339 631 -412 -211 -580 -313 159 97 258 -112 52 -381 223 93 70 62 -156 17 29 63 -544 -34 
-484 -102 99 607 203 316 221 -250 265 61 250 -106 -467 -118 -85 -243 158 233 -74 -54 -260 -48 278 -45 384 73 221 40 518 -253 677 -269 472 554 -314 117 388 -127 51 317 -96 35 -111 -391 -428 -30 149 -123 -110 203 
-175 -81 117 -10 -56 108 -127 -254 447 -129 129 -86 -824 -458 -139 -299 187 204 -123 -127 -120 422 202 -583 -31 353 64 -650 60 431 -70 49 279 -69 -134 51 453 68 343 35 -97 -180 -563 -44 -339 262 291 467 -543 87 
504 -495 682 -343 110 -49 -426 -39 532 82 53 332 457 101 -219 -281 237 -355 4 126 131 -140 177 -210 -190 -143 -211 95 -607 401 63 568 224 -522 -178 -68 -423 144 386 -96 235 548 -251 306 267 6 154 -31 748 -272 
-75 760 -447 609 -163 -188 -147 -439 -558 -236 152 252 -12 -397 233 428 196 126 211 -142 -337 -88 114 388 899 312 232 34 -200 -168 193 -404 327 202 -253 60 -246 166 -255 358 -84 -53 553 -288 -221 -47 -85 271 147 298 
-74 153 112 197 -380 -606 -128 -104 -293 -62 50 -46 293 -237 -355 54 227 47 -206 -25 -161 451 -81 -101 -132 79 354 39 -327 -239 -611 557 -408 43 -25 55 -7 66 -64 235 -202 -364 277 168 367 341 250 482 -513 -687 
-99 -509 -21 -10 163 -283 154 87 -561 -499 -401 215 -93 -467 212 -24 -114 119 -144 -175 -172 369 157 -348 9 -125 177 -256 -416 -114 -561 -1 144 442 137 253 -260 -29 129 481 -332 -820 -341 -37 96 434 182 613 -522 -473 
-232 106 -453 268 191 201 6 -338 104 136 -3 264 -197 -497 372 -258 255 -250 352 -207 59 -125 497 -130 34 260 186 -636 -268 -216 741 -406 716 254 57 -630 -828 434 -120 572 -64 -352 -417 159 243 -29 -17 -196 227 51 
326 441 -249 -121 478 152 -389 217 -638 162 86 -123 357 -468 289 604 -354 -68 -52 -51 -312 -679 332 366 256 265 -157 38 -467 70 83 -562 35 -198 246 432 -218 -343 -330 241 -23 -398 -186 -582 -19 130 -270 63 27 70 
148 -623 -140 15 39 14 -150 325 100 -356 -43 -58 -289 427 54 -205 -412 -373 343 -23 -141 -809 -620 358 -7 -153 9 308 -84 102 -96 -71 -238 -161 -451 126 -745 -288 427 -568 -179 265 326 482 389 128 -232 475 574 450 
