41
63 -74 444 164 154 81 -152 4 95 162 99 -153 409 -211 -426 28 -165 59 -122 12 -21 -343 -232 459 234 -136 -457 63 97 23 -312 376 320 146 286 -252 128 71 201 86 -376 
-124 64 254 257 -318 539 -46 165 154 52 -246 -167 352 163 -342 471 -16 -87 -224 -177 3 -123 -114 -209 209 162 -20 234 538 -120 -516 -42 260 -72 -260 -169 566 226 637 -87 -219 
157 381 87 -40 -234 -404 100 -314 -113 176 542 269 246 -57 3 -35 -142 -353 297 -29 117 383 351 97 183 468 -50 -440 142 -38 261 -105 -181 20 474 -280 100 603 -464 -40 -107 
-234 -32 131 286 -343 49 166 -342 156 389 322 121 -127 -254 240 -121 243 183 -23 125 810 -281 98 -81 429 -147 -291 143 -384 -147 183 241 130 -43 317 167 -57 532 -591 39 -143 
585 288 183 263 93 -349 39 159 -16 284 -407 251 73 -130 90 -36 -726 -448 292 -138 94 -79 155 22 -157 305 -350 72 665 434 440 -73 -121 443 315 -92 315 -3 -139 -47 -68 
152 194 -416 35 -637 11 37 73 -295 108 -286 -220 239 475 538 290 16 -220 369 -183 -38 -14 -304 -209 309 -203 85 27 552 617 540 -258 -168 271 -313 121 389 47 -41 217 11 
-84 518 -283 -541 396 35 259 341 87 -211 315 559 -46 -26 -196 -310 -98 -423 132 -53 -294 672 -65 -318 230 230 -224 -656 -146 279 -336 31 -322 329 170 -501 -220 74 2 -141 193 
4 -136 -485 25 -50 -150 -41 -387 126 -223 383 -592 5 -417 -580 -95 158 572 323 -90 -17 -87 66 322 154 -123 361 331 -126 -491 241 79 322 6 152 -372 -417 88 50 -201 -410 
-589 -359 159 5 12 -528 -422 -510 187 277 182 -150 -309 -626 330 -316 151 -223 -407 328 34 -412 252 -55 -324 -457 47 275 -447 236 133 -120 123 -495 110 217 -320 -169 -60 112 401 
461 -125 8 120 293 -705 130 -63 -255 191 -130 -5 125 629 582 222 -200 -239 53 -17 112 -334 39 336 -125 14 -779 141 -46 -38 248 158 234 -78 -160 701 360 163 -705 171 -520 
28 -407 -207 835 -665 -326 -77 275 -335 136 68 -181 189 -584 -70 37 -212 13 118 352 489 -456 -243 -7 225 -116 192 488 133 -15 299 -304 286 148 372 -8 126 -376 300 198 -34 
641 4 9 163 348 645 232 189 119 -164 -388 -246 21 406 1 185 -507 253 374 -406 -249 -472 174 -197 -241 -238 -330 661 515 -97 -133 374 229 -252 239 16 488 407 155 -131 -741 
720 518 528 385 26 -16 452 274 -717 49 118 17 431 -51 -330 -11 -231 -103 566 136 52 -188 64 -313 -136 342 13 -236 388 -53 -14 56 93 265 504 -710 232 -160 434 115 -172 
-92 87 1 -405 765 119 -81 -192 474 -337 -5 -15 -134 -104 -799 218 105 -4 220 -489 -789 -317 -177 -70 -98 -444 450 19 34 -269 -364 421 225 -23 371 -555 -456 2 487 273 -85 
-284 -173 -525 147 146 322 119 887 207 221 -88 523 -84 360 -224 0 -199 49 105 147 -540 225 -281 -113 -197 -210 -122 174 -299 -506 -1029 156 -201 -659 -171 99 41 -181 167 -102 -32 
463 -137 782 292 212 155 -260 517 -98 -228 -49 -520 618 -115 -225 434 21 -21 -175 -40 354 204 423 627 -150 740 -159 -54 157 -318 57 40 18 206 8 -95 538 -121 5 27 363 
