49
213 -17 -533 4 -106 -82 -246 -26 153 -501 517 -86 229 146 -299 6 -411 -40 6 401 221 -404 153 -67 89 246 171 -84 71 -224 -38 219 -47 -137 294 -103 44 53 22 366 200 402 217 367 123 216 480 282 30 
-66 -50 106 266 364 81 -815 319 -260 -347 -198 -112 -166 308 137 -140 290 345 361 480 -39 364 90 -323 -136 22 -380 190 -120 523 43 -136 509 -248 137 62 118 154 -190 197 -27 -71 56 -172 313 -236 68 1 215 
205 164 -221 8 33 -394 110 -61 -74 -282 395 47 128 287 153 38 187 -65 254 -326 -321 -330 -200 -326 359 -114 278 -487 -271 -381 240 403 -348 296 523 250 -690 -185 61 282 143 330 525 3 -185 -99 -150 112 -143 
-18 190 178 -28 313 44 -165 189 -189 343 -333 115 74 10 -573 -371 79 -77 -219 279 -285 155 445 145 242 381 -431 469 187 -250 -368 -259 -333 133 -604 405 388 -110 -98 278 136 55 -246 -44 233 161 174 -316 -75 
33 393 -547 -201 321 281 349 -16 108 298 140 -241 276 310 -549 -196 152 59 97 -65 -319 -379 434 89 161 39 46 -442 163 -355 -37 5 29 265 -462 -38 64 -383 132 394 114 -122 108 354 -83 470 385 267 -740 
358 76 -282 -160 117 -68 295 37 -243 259 -419 -13 -423 202 -115 374 199 -181 -566 128 -64 -340 -6 333 -218 116 -205 619 37 -47 -691 -471 -315 308 -448 -46 -20 351 -130 160 -156 552 -214 255 -113 160 -4 -354 182 
214 138 -37 -217 -228 114 115 210 -97 -266 170 0 89 -295 -297 -224 -312 -248 733 -83 -193 -107 314 145 711 191 96 100 165 -679 -21 328 352 259 -183 61 -156 -518 161 43 -259 -29 302 251 364 380 -60 -351 -633 
-134 -884 49 141 -331 277 -491 92 -444 -292 195 240 36 -153 120 69 -61 -357 157 -186 -232 102 111 163 613 -241 20 -149 -123 -293 115 -86 -377 -230 159 -9 192 -9 -96 89 -396 184 65 -57 387 73 -287 -439 -28 
407 146 -52 -104 31 48 -289 489 -690 198 -395 390 145 102 -236 -160 -119 106 433 342 -329 -196 -164 -205 376 669 -138 11 52 -360 288 -180 -173 325 183 -331 -277 105 141 426 -348 469 136 362 89 31 180 -573 -9 
227 -114 632 209 493 -99 -30 -358 704 -67 -263 211 -356 -523 -271 -322 198 140 -333 338 456 -55 -173 -80 -89 -40 -758 854 4 492 -154 -271 143 -188 -127 48 47 -72 -70 -163 193 -189 -277 -229 -246 52 -241 364 293 
-224 -221 -79 41 101 131 100 -247 400 440 -224 179 59 258 -428 -139 354 -95 -328 -502 177 -415 378 -58 -78 -431 -494 137 -195 549 -396 -505 352 253 144 -78 141 -212 206 -256 457 -437 2 -13 -275 314 56 423 -363 
469 -549 -542 -136 29 627 331 189 -324 411 -300 560 -7 -116 -126 556 -280 -510 139 -526 254 -388 190 550 -155 -73 468 199 51 209 -138 -299 205 -41 552 -877 -156 -180 126 -146 -700 238 11 337 -169 543 467 -79 -187 
-438 503 234 -274 -222 -90 -120 -112 403 -213 -98 -246 -345 89 -593 251 21 144 179 -187 -378 10 233 -105 719 250 -122 459 -88 76 -396 19 440 281 -270 129 321 -134 322 -53 459 309 506 130 52 12 -242 -244 -571 
542 202 54 -157 373 -327 2 -298 -39 -782 360 -183 -369 -435 402 -85 -17 -76 556 601 724 -178 -313 264 -319 -625 -49 295 -61 -6 -382 62 149 40 338 -119 -726 40 -412 233 -42 -152 254 -148 -173 -420 -105 32 489 
