49
-101 513 232 379 215 -107 39 -27 -577 90 118 -246 221 253 209 20 366 70 -166 -138 -70 9 208 198 26 -182 511 32 -236 437 245 395 32 -332 -56 -69 -472 476 7 -252 -218 172 99 145 144 303 378 -402 -208 
-314 -254 137 192 76 -11 251 552 -242 -259 -502 -500 205 -29 331 -24 108 90 -324 -13 113 212 248 282 -218 239 -80 613 -242 224 133 735 294 -64 193 -197 -216 -47 345 -143 119 68 -163 -113 87 261 481 267 86 
378 -170 -225 -161 -9 49 -166 -221 -355 167 132 191 -413 102 -380 -465 -446 -54 240 -307 41 -102 -347 428 -72 -216 -146 25 336 -937 -203 -352 -404 162 -1 320 77 164 -128 124 99 121 -102 111 211 -33 -111 626 24 
-180 85 132 506 214 220 -145 -183 -317 -65 255 -181 138 458 149 -613 -226 76 -29 -226 -6 -504 95 -254 98 -547 507 -273 -74 -335 -351 -412 127 313 175 242 -113 39 -411 -413 -368 544 -112 -418 176 41 254 -22 -207 
-347 -514 96 -329 -88 -138 667 -54 -53 -215 -360 215 5 213 81 303 117 -524 20 372 35 413 -6 261 -124 377 -555 101 -14 -109 207 -130 -622 -293 111 -246 60 -705 -17 -36 -177 -345 279 87 -476 200 -109 362 183 
313 591 32 276 -31 -119 50 4 272 1 -165 460 147 -216 654 293 155 149 -394 -235 -181 -109 515 157 234 191 -203 385 -89 310 -370 269 -150 192 -242 74 -308 -85 333 -28 400 -33 189 128 -66 -288 177 -678 174 
177 133 -329 -861 229 -345 -285 110 148 372 402 -27 -444 -183 -541 412 -469 -260 227 -131 -80 343 -181 -742 -116 356 -143 -349 173 11 -21 -140 115 15 74 355 226 68 -230 344 -256 180 59 -40 -86 -566 -312 206 -699 
-1 616 -93 135 167 183 310 703 111 -41 68 -39 -34 -474 117 107 430 435 112 261 296 325 -59 114 506 -41 -11 254 218 40 701 -196 131 55 -202 -490 89 272 559 -178 112 -276 -45 72 40 -74 250 -213 -21 
227 97 539 184 59 -454 -115 -329 -419 490 280 -295 75 323 -131 -145 52 -428 527 -368 226 173 19 -69 -392 243 393 -942 -75 94 -24 153 492 -484 512 419 -318 80 -280 204 -561 245 -103 231 -27 -176 159 -413 -198 
4 -320 184 288 -585 -48 -108 -104 805 -562 -494 253 537 -133 540 118 299 -310 -264 -22 -68 222 200 650 -581 345 -230 31 -88 412 149 14 -44 288 -154 -199 -366 -485 -29 57 79 -467 -583 -34 -534 -71 395 -244 634 
-253 153 313 -3 -609 384 -28 -912 179 -94 306 814 -251 334 -190 245 137 -435 283 -64 -36 -434 0 326 -459 -93 -99 19 -25 265 79 -130 -477 343 -367 -24 -352 -89 -49 -309 -295 -698 -19 84 -234 186 -65 -145 -59 
703 498 154 344 436 -858 -86 -188 -578 17 -325 -425 -126 -453 383 -134 -212 -446 -227 -109 -75 458 -48 520 -92 90 371 371 94 -99 -155 -330 -242 -224 -63 217 -586 -19 -183 -370 45 346 -305 -115 -65 -363 267 -173 -316 
95 -401 278 228 309 -56 226 -2 294 -260 -131 -414 -520 -4 -82 -506 2 -75 394 622 57 -278 -506 -553 624 5 51 -329 -249 -119 141 -570 -261 -190 776 -123 307 -632 -357 -186 -398 -18 371 -172 117 -425 -299 67 -212 
442 186 -156 735 430 -250 -85 164 -301 -435 -380 -658 -90 772 810 -66 -182 -167 -261 74 -292 -111 295 561 600 -127 475 460 -284 -38 -120 -37 -522 215 259 221 -98 -318 -42 -421 191 523 -187 -137 213 -55 157 212 -280 
-233 249 -151 -559 -9 83 389 -138 -88 -152 -151 -50 -78 321 101 771 -324 -319 624 99 263 577 331 -97 -24 51 -245 198 -298 -139 -463 -3 220 281 181 -151 186 -270 322 132 161 47 314 -70 -171 15 -294 -504 127 
28 97 -632 -415 36 174 -764 522 277 -174 141 -323 138 634 -273 -333 -312 42 -165 -97 428 -117 8 -406 286 -412 367 -123 -229 -3 330 -347 179 31 -108 3 402 483 -184 355 -435 91 -552 -384 124 -144 -127 -392 -127 
294 190 -21 -258 91 -291 -79 -218 77 73 184 513 -32 -839 126 662 -8 248 387 241 9 199 -358 151 -354 -75 64 39 465 230 213 -716 330 83 -267 232 -82 -117 145 -138 -114 -358 387 457 -506 -455 -584 185 243 
396 -423 70 -324 -57 131 -545 326 -154 412 -205 165 -508 -187 -686 -449 -219 -273 43 215 111 75 98 -363 -376 380 31 34 64 -313 164 457 92 39 -53 279 178 254 204 270 474 -695 -580 -206 583 363 -220 368 -425 
122 -221 -182 -318 121 -69 -259 315 -88 289 134 197 187 153 -267 -61 487 -334 -87 191 109 220 -44 27 -252 381 -251 -609 -287 286 598 -648 294 -231 383 209 -247 -407 -37 68 -605 -655 184 478 -318 -392 122 261 -400 
333 579 -882 190 244 70 273 -182 -473 83 -3 -216 -330 31 -118 -139 141 306 -280 -122 -100 -110 15 483 230 -511 190 637 -38 235 -225 -311 22 -19 -403 302 -12 272 148 -528 74 412 665 -31 274 -235 85 -80 228 
-121 21 -43 100 -11 -112 73 455 340 -17 -409 -719 74 646 204 -165 581 -416 -72 312 129 775 408 468 -136 37 9 -263 -678 143 752 -102 -74 -685 367 -581 165 55 57 -64 400 -531 164 128 111 378 358 -2 223 
-303 -81 -728 457 -18 139 192 246 -830 -686 7 -519 -68 -207 249 217 -37 107 130 -10 -222 321 -153 614 -149 -295 220 271 367 86 260 -388 -124 417 -119 -47 -374 -19 -127 -625 -57 386 -58 -494 -302 -85 -58 219 255 
132 -97 -147 161 -97 -129 -418 -269 -448 -237 247 -351 -46 439 -63 -24 -199 138 -84 92 -234 -377 -11 -217 605 -314 487 5 45 451 172 -138 -561 -460 302 -372 -166 328 -357 -175 31 917 -361 -87 -240 11 -145 -72 -522 
-238 716 124 466 44 47 288 283 102 -378 -174 -435 272 -1149 536 381 -466 423 -120 -201 184 350 1 600 5 -134 293 194 -171 159 201 222 654 -82 -376 -621 -223 349 -160 -425 -54 199 -339 -327 -240 -28 118 -614 371 
