53
310 -621 -579 82 -93 148 -285 -10 -216 -659 -240 184 353 -92 227 343 -132 -101 -196 -431 -186 -234 179 374 -25 -401 66 188 174 80 206 -111 -203 -110 27 88 -424 -197 -606 420 -313 -72 -411 155 -90 298 -388 -7 -100 172 286 408 -330 
-234 279 -63 -132 -667 -62 158 75 157 -115 41 384 346 -212 -5 -367 392 498 -132 -175 -347 369 156 -151 274 665 287 -145 -37 79 -325 20 283 -165 -101 -197 338 -10 368 -536 510 516 -250 -508 -335 -14 39 162 203 -99 -270 -502 -164 
-277 331 325 -256 -184 151 301 137 74 236 97 256 454 234 117 -403 747 458 212 246 110 203 280 -46 306 253 359 -40 264 -372 -99 -520 108 -157 -471 115 1010 -39 -69 -359 378 8 289 -141 192 75 263 142 780 139 154 -121 507 
-199 453 242 -209 631 -184 43 -138 -109 -49 -203 -270 57 108 174 256 66 101 -219 -171 -260 -177 85 286 715 201 -163 116 401 -775 196 -117 10 57 -126 -17 83 8 0 242 -67 -286 -103 8 259 -54 559 -444 469 598 334 509 224 
-175 -764 -155 327 -756 215 -38 166 226 -85 -182 230 -262 -380 145 51 -128 -54 191 196 256 -222 605 -93 450 -367 -265 -319 347 88 -233 -75 81 -8 338 94 312 -364 -520 128 -87 -336 -86 418 69 -221 -497 214 -161 -22 169 -366 57 
181 -545 246 -92 625 -102 -443 146 -120 -324 -325 -242 -357 9 -163 -111 -420 -98 328 254 101 -289 297 285 536 -132 -272 -449 133 -478 -108 305 -149 175 822 -722 -37 -284 23 294 -535 -229 -452 14 306 -204 -274 -72 -268 513 -80 558 -134 
331 -640 -167 14 -289 -399 -222 112 44 -478 -156 -354 279 -31 -188 -759 251 29 304 240 -122 -442 486 308 -267 -365 427 338 -231 50 -95 29 -181 144 115 -87 178 323 -66 147 -353 526 217 -226 -151 -340 -355 302 -216 56 -308 -118 -362 
369 406 451 47 130 27 149 0 -19 -81 225 -419 477 213 -186 53 227 -357 317 593 -24 -573 -53 -133 107 -453 -610 440 -24 -179 262 -564 273 72 -118 486 617 451 -56 -77 -635 -273 346 260 49 -376 219 -502 125 274 -267 48 167 
15 -345 -216 98 151 -443 -148 49 422 -224 8 -176 824 -192 204 -319 783 131 -24 471 -389 -215 141 -543 -18 -415 0 472 178 142 58 -420 29 -71 -151 -46 15 -14 -363 -109 154 211 233 149 -466 133 -174 -173 429 422 367 393 91 
270 81 148 -50 17 388 45 -174 -109 57 -19 180 337 691 6 -701 276 -351 234 465 -335 -232 -359 396 -435 -72 466 238 -473 -405 -185 -209 -549 648 -236 211 1155 562 -3 36 168 286 29 -447 190 -52 -145 374 99 -292 -481 110 79 
