40
-237 52 -284 -316 -309 187 -70 78 401 -194 82 -12 -307 170 68 60 -167 -657 283 -141 62 29 113 -426 -196 179 -188 366 -89 93 -316 -96 -112 233 128 -221 -273 233 -64 198 
-172 -37 129 -76 -676 411 -484 -38 857 -181 181 245 -162 165 173 49 -185 -87 123 -133 33 810 258 263 -138 420 83 -137 44 93 439 -109 -77 -23 32 342 -21 321 156 -54 
-45 -443 307 465 -593 551 -16 185 140 -354 8 42 254 -648 -30 -14 3 225 461 -65 -390 294 -83 687 -274 -473 -93 -91 120 -193 322 76 150 71 26 202 124 203 -2 405 
-199 -457 -108 42 -164 228 14 -169 112 115 89 -4 430 -105 298 130 -75 -484 275 -467 -596 80 -422 269 -77 -61 164 -396 6 -220 -40 -746 48 231 201 170 150 645 -36 257 
276 -332 -59 262 -228 473 286 -70 317 674 -238 353 -30 -281 608 288 258 13 367 -244 -209 88 -59 448 -75 18 270 -361 30 -72 157 -382 303 -561 458 -102 157 222 169 -275 
-4 267 -512 131 -100 -605 -57 -212 -96 -439 176 -115 -110 -83 -88 -331 -64 706 -354 234 124 550 -66 -60 -500 378 -77 -266 -46 119 577 258 -477 -110 -599 227 31 -189 301 35 
-549 41 121 5 -371 432 43 183 285 -429 336 146 735 -83 144 402 -444 -358 -28 -674 1 195 -173 180 27 -134 178 171 -257 4 -72 -296 0 116 -330 154 316 440 -669 648 
-261 -196 -21 353 -95 -537 -39 -372 -102 -308 -107 -190 338 -36 103 -478 28 47 99 -763 130 -219 -203 166 -367 -188 223 -587 -21 171 255 -161 86 30 275 25 -298 349 406 398 
411 520 -745 -117 -28 -337 492 108 58 286 21 288 -540 -135 124 -50 290 59 -43 52 -619 188 169 187 123 -65 -75 -332 -114 19 28 -211 -436 -43 475 -35 452 145 185 -263 
518 -180 -381 89 -444 148 193 -281 98 -228 47 490 -454 -82 50 304 244 211 373 631 -282 385 311 11 24 -6 -92 -396 77 112 499 -265 70 131 670 233 377 21 -170 58 
600 -22 -452 106 76 -596 68 -399 -359 -119 -356 -19 -504 100 -198 -193 62 141 562 -408 -484 -155 376 -277 -241 20 307 -257 298 316 467 307 -95 202 261 -289 204 -50 116 -61 
-210 417 85 10 -23 -212 34 143 681 -278 -247 -193 -762 -255 -161 -338 379 -20 53 492 -234 -234 -38 209 -120 -313 -53 -122 -22 285 11 311 399 -258 91 218 -288 -333 559 61 
-169 81 -244 101 306 255 70 189 346 -220 -55 -76 -20 98 351 342 -28 -297 289 -633 -611 19 -214 66 -31 405 321 -112 -369 61 -405 -428 -78 373 -847 -7 -221 8 401 99 
-262 298 247 -35 -121 299 -341 -138 1066 342 -22 -29 -12 -146 20 553 0 -418 -358 271 69 -109 264 159 -54 596 319 -33 -286 108 -104 -30 -63 -657 307 175 99 137 -629 129 
146 472 -30 -358 201 -273 -391 -292 -102 33 -15 -254 -234 242 -342 270 148 -171 87 212 -88 -53 313 -900 -15 266 135 543 -56 125 -476 499 -446 218 -76 583 116 -529 -484 298 
60 414 -4 118 -81 -178 -671 95 779 541 -62 27 -270 22 315 -268 563 -78 18 -218 -58 -116 437 -54 182 220 257 -338 -399 146 287 522 198 -237 59 -17 -286 -451 113 -37 
107 98 -105 -54 145 -209 434 96 -593 -433 14 -220 -198 -706 -310 -187 -321 94 141 437 -706 -240 -200 -362 -676 -948 -56 471 181 -28 111 234 -217 -569 -273 79 292 -296 261 -156 
264 -496 -137 180 184 -168 242 57 -150 -439 247 -328 -19 514 -426 -712 121 -261 555 -318 -275 -206 310 65 223 -55 -232 401 22 282 -374 259 147 768 -179 -636 -373 54 -211 -69 
-150 -290 195 0 -37 -226 -115 -369 120 -264 420 -445 336 -336 -315 -482 608 -271 91 13 -378 -456 -333 -465 -14 -386 -147 -114 -243 131 -642 -30 293 27 312 7 496 -105 -417 1035 
-178 233 -438 -3 -719 735 405 88 302 211 -283 308 -556 -330 211 320 -35 -74 -106 -106 -297 766 -106 258 -814 -349 -363 275 -417 -696 -282 -155 -346 -488 122 118 168 111 170 280 
-486 376 -71 280 -382 305 114 235 336 -441 -201 -496 -244 -196 -388 -234 -261 75 -116 -200 42 238 188 535 -826 263 185 38 -401 -8 108 279 235 99 -154 327 22 394 -561 145 
-36 -16 271 375 400 -291 102 133 -419 -493 127 21 532 267 -212 230 -222 226 181 579 269 22 460 -217 292 -263 -4 634 35 120 -256 -298 -389 -83 -201 -95 -4 301 -584 178 
-109 -162 -116 300 45 350 -260 253 321 454 21 17 173 -188 244 -86 190 330 -154 756 -67 -208 236 677 354 516 -397 6 250 -500 347 256 25 -241 -289 38 -414 327 736 -119 
