41
-170 -212 242 -97 127 108 -292 11 453 -644 -224 181 -356 88 -7 -100 -122 267 171 361 36 360 -83 -69 -257 218 -254 -242 -193 77 163 -111 -217 -278 9 278 -216 136 -169 -252 520 
150 -264 -20 -81 467 270 -101 -171 -171 -161 332 288 -157 -631 -301 337 -213 185 -181 -398 101 -531 -466 216 75 112 -16 -47 132 -306 25 178 43 102 90 342 463 141 -222 -293 -6 
-76 131 247 696 33 -433 0 626 161 175 -353 138 -278 68 133 -133 126 407 -49 -207 245 103 -325 49 34 -79 85 -336 -318 408 24 134 191 236 227 -9 -498 75 -281 315 -344 
286 -269 203 -553 287 -79 -325 -562 -14 -476 12 462 -104 178 -735 148 -101 -88 -66 472 -184 -174 488 -330 251 313 11 -141 -13 98 -112 378 -596 -144 315 -142 -254 -94 -82 -283 207 
138 487 621 191 -467 -309 -44 125 17 589 -657 302 19 414 -89 4 -238 51 -458 47 -316 -346 274 121 -207 337 -106 -109 -185 204 -319 -56 -83 -404 556 -113 -184 -85 105 282 -106 
-43 -216 -50 -45 -190 220 -59 -192 -508 30 -207 -383 -205 -344 188 138 -209 -239 -469 -159 -289 -220 -517 337 -522 -186 -427 431 426 56 -16 -95 181 -636 1 -177 52 232 -255 6 552 
36 138 452 20 392 -452 238 99 341 104 -69 -304 -304 -278 -562 273 227 -64 69 28 262 240 32 -313 7 443 563 -623 -331 -186 41 231 -158 97 56 130 66 447 212 -173 94 
39 -329 -351 -389 471 105 -59 -538 -108 571 -12 -211 65 -529 -540 324 131 -143 111 -225 -450 178 -273 -102 470 -173 289 -108 342 -247 -254 243 448 154 -568 -410 133 -54 -226 -8 406 
-247 231 378 393 -579 22 183 72 74 -184 232 299 -127 800 170 -365 -222 5 -100 252 262 -166 -367 -16 -330 -216 -238 694 91 -63 373 -183 -305 -365 -34 124 67 10 -415 249 219 
271 480 -6 188 -42 -173 -570 180 42 -63 30 -196 -469 -168 242 335 219 -112 -599 -395 34 -581 -309 525 -285 437 -11 -120 399 189 -70 -229 -338 192 179 -51 309 311 188 -44 -188 
-282 -124 356 -375 -212 -384 653 240 -62 250 302 -439 102 414 8 139 -145 -107 305 559 895 387 528 -396 -112 -31 -241 194 -218 -48 215 -63 -522 -98 -638 49 414 -42 260 123 -228 
84 375 -335 490 0 -633 -317 -237 477 -560 -144 107 319 464 316 -568 320 142 -573 -130 203 -246 -16 286 -101 -539 -34 -176 125 442 209 -83 82 200 249 17 -202 85 -110 93 -330 
-18 -104 338 182 66 200 118 92 125 443 -285 122 -445 -760 55 226 189 333 315 -220 -114 301 -210 260 -168 763 -144 25 -84 -188 -827 261 324 -129 160 -50 471 408 177 -38 -213 
-387 -17 -392 600 -94 194 292 -20 -458 423 371 332 -407 -540 -481 -276 -5 -254 132 -36 179 136 -352 -277 210 9 685 402 475 -478 -6 186 -27 346 92 71 81 79 296 32 74 
-452 124 250 213 -166 -102 -374 -612 233 94 -318 -104 -207 -151 -264 -294 783 -29 -573 426 -212 126 -126 304 -580 -204 -39 -205 620 -244 -359 -223 20 -523 -124 -395 -383 329 459 -344 421 
361 446 241 -399 -12 109 -435 24 147 -281 -104 -173 207 475 322 721 -223 -206 65 137 -853 189 198 -43 574 610 311 -124 -368 152 -327 -351 -233 -58 2 156 446 -44 530 -317 628 
46 121 -22 -252 -265 875 -174 -54 -535 36 498 721 429 706 -513 44 3 -111 -459 297 -364 -679 135 -328 443 25 419 -80 -134 -149 -54 -250 -94 113 269 -1 357 -422 259 -624 -278 
-196 -165 -216 213 338 -250 -162 558 10 -575 -241 188 -306 28 147 2 -55 178 518 -192 155 456 430 -12 -48 394 -255 38 209 459 353 -413 84 656 -40 -91 -368 -654 -175 391 -158 
-606 -603 56 -297 -35 534 -21 281 62 264 -94 606 -281 -174 -96 -238 126 514 331 -95 22 229 176 -371 306 145 -359 -1047 -300 -29 -527 693 127 557 124 -37 -572 -361 -46 89 -850 
-179 -12 -107 -178 615 167 -721 -19 27 416 164 -127 -131 -510 -501 390 -20 111 191 -66 -264 357 201 -20 78 -231 510 -124 382 -103 370 -183 373 257 -125 333 -210 -123 2 -489 -126 
-264 -428 371 -33 -79 -422 -546 14 215 180 30 -277 64 123 199 477 -3 345 111 -15 -150 575 -582 -217 323 -220 -568 -191 -2 780 484 -94 66 -142 -343 104 -354 250 -518 128 426 
4 42 -461 -107 -117 -77 -981 -281 780 201 98 113 190 289 497 -443 -60 -51 49 470 -102 327 -139 -57 508 -274 332 -29 -290 477 208 -559 431 89 57 553 298 -247 -197 -382 507 
87 -51 -240 -515 -261 -176 -139 287 -202 74 -198 -636 -422 -323 -235 21 -451 -332 -159 562 -5 -206 -177 -360 -732 470 -168 -132 -342 715 -176 -220 -125 -320 699 -32 -147 44 5 161 234 
-1 -201 -479 -334 202 12 -346 -416 253 -263 -61 -814 178 38 249 -233 277 -439 11 269 14 -258 -171 -98 -641 -184 127 118 0 486 722 135 -70 -186 -87 613 -103 115 -628 -84 625 
276 -41 77 -466 -223 95 151 -473 150 305 141 169 83 18 -404 -169 -70 -241 680 -691 46 414 138 157 214 421 -132 460 -84 -717 6 -371 608 -392 -400 251 890 185 -303 -50 -19 
327 122 382 -138 93 -209 321 127 -531 -391 -460 328 178 -35 214 290 120 144 250 -815 1 -139 -50 284 189 821 147 -255 -302 120 121 340 -315 142 725 109 -332 -462 -10 376 -493 
-311 -380 -331 133 -47 471 -20 136 -584 261 77 223 -461 258 7 -96 29 -483 -250 196 52 274 589 -932 -132 -392 -214 56 399 139 323 249 -154 227 -180 -162 -405 -490 -664 472 224 
90 221 742 652 275 381 -43 614 148 160 -235 -528 -371 -110 -36 249 10 232 -355 -22 158 13 -163 343 -210 -27 57 -47 -295 257 305 330 109 16 -748 -248 183 510 -218 126 254 
-141 -341 89 135 186 -149 -185 942 164 47 -293 -2 -424 4 315 480 218 378 -177 12 800 611 124 -427 188 -3 438 -227 -103 695 381 -426 -343 -86 301 658 313 -184 -31 -353 -25 
-297 -454 99 3 44 669 421 -398 340 269 297 62 426 36 277 625 121 319 688 358 -330 145 -165 110 56 -25 -756 -196 -245 -695 -240 -160 189 266 -526 141 457 -124 -108 228 -285 
31 171 167 750 -370 -181 -322 -145 16 542 147 -218 132 118 -727 -274 309 -408 73 -303 -683 110 254 65 206 220 359 -116 24 405 -331 -247 148 52 319 -51 -345 -458 106 436 -405 
