55
344 -128 -33 -130 749 -331 -315 -265 -36 308 207 545 -102 211 304 -142 -111 -150 -215 333 247 18 272 103 -555 32 -131 215 117 -307 186 -193 253 243 8 -478 -234 527 -161 159 -78 302 238 271 -379 -109 4 114 308 -332 496 75 -100 -440 9 
422 -279 -277 149 593 -106 169 292 582 334 -196 364 296 29 -281 -393 90 -98 -165 140 -537 -123 59 -518 -254 379 -350 316 178 -86 -352 146 433 -332 -38 -149 156 346 271 -396 452 92 440 -191 -182 -15 -76 55 -42 -233 -203 -33 -305 351 70 
436 -62 158 54 -313 830 39 226 24 132 -139 131 251 -220 307 -76 -61 366 -288 -338 8 213 -711 127 -649 30 352 46 -148 459 -367 -153 281 11 -88 14 -276 -79 61 163 112 -372 505 213 204 -380 28 164 198 516 -122 0 -292 304 51 
-707 -95 -69 -96 -96 -702 -214 95 -153 -149 312 -173 243 182 -736 -79 216 172 444 -373 -408 5 1 -381 657 -45 88 -305 -56 -321 415 359 328 -249 15 -173 343 24 499 -93 441 185 47 -8 -39 -212 -552 167 -265 -258 -163 -323 -342 78 -113 
75 -366 -369 388 181 94 -183 544 -481 112 338 -190 299 -229 436 -243 463 117 -14 -440 -130 -31 194 -46 -279 -216 -159 60 -136 38 237 -177 638 -324 -475 -156 -102 272 398 448 56 -277 856 -291 -57 90 -55 83 452 359 -18 29 -286 346 -139 
-191 -92 -324 539 187 -367 -31 984 -172 173 224 70 189 -399 -279 21 408 -153 -63 6 15 -311 47 -358 12 -118 330 278 -213 -256 590 118 516 262 -45 -30 392 54 -342 367 -100 282 405 -316 -29 112 30 51 -222 130 -84 -8 -602 239 -135 
456 205 -367 -164 -10 493 -829 -532 -823 266 -18 -355 346 -311 418 -72 -142 462 137 106 697 -89 -29 405 -385 115 138 -214 226 39 -185 -47 -214 -106 -2 194 -391 529 -126 81 -201 -265 -311 243 566 -52 247 -138 637 226 489 164 18 -220 62 
-100 -443 -216 542 251 -196 313 384 477 413 355 -97 253 -323 201 -166 216 51 -350 -62 -238 -394 44 -332 -403 -149 -623 560 71 664 247 -244 296 400 103 122 476 272 -113 72 -416 26 194 -216 -497 49 -221 281 311 -362 172 -382 160 103 228 
165 -103 -492 -44 420 31 -262 -525 -126 431 288 -378 23 28 116 19 -391 406 218 -172 -450 98 774 405 -236 72 -454 405 96 -59 386 -134 -346 93 -63 393 -254 117 149 -102 -65 -133 -299 -88 108 76 150 315 661 92 793 -502 363 -462 -351 
101 -309 -137 -167 113 464 219 397 630 544 -494 -49 -169 678 157 46 -199 -493 -580 -121 -725 62 451 -106 71 380 -74 121 22 112 -275 115 -158 -660 -387 -216 -345 -552 707 -32 225 60 172 -541 -15 175 421 121 -138 290 -109 -63 -14 -176 -188 
