Parallel mode ----------------------------------------------------------------------------------------
*17s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=1
*35s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=2
*53s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=3
*67s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=4
*124s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=7
*145s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=8
*212s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=9
*250s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=11
*261s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=13
*270s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=15
*370s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=20
*378s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=23
*459s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=25
*473s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=26
*609s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=31
*626s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=32
*835s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=39
*1057s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=53
*13229s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=543
*13256s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=542
*14184s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=619
*17649s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=753
*17708s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=763
*21803s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=1092
*21948s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=1099
*22603s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=1185
*23136s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=1236
*25578s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=1532
*26214s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=1589
*26385s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=1614
*27582s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=1775
*28427s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=1887
*29222s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=2054
*29456s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=2103
*30192s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=2261
*30295s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=2287
*31112s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=2481
*31174s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=2504
*31440s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=2573
*31827s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=2675
*32101s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=2755
*32634s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=2958
*32789s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=3029
*32856s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=3066
*34872s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=3327
*34968s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=3374
*35106s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=3461
*35135s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=3479
*35212s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=3537
*35744s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=3880
*35788s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=3905
*35800s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=3915
*35830s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=3941
*35970s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=4079
*36018s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=4150
*36184s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=4356
*36224s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=4390
*36270s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=4458
*36382s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=4614
*36432s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=4695
*36483s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=4784
*36575s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=4967
*36577s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=4975
*36644s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=5107
*36677s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=5183
*36681s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=5191
*36798s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=5505
*36814s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=5552
*36815s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=5557
*36866s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=5705
*36908s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=5842
*36918s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=5870
*36960s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=6009
*36988s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=6120
*36989s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=6123
*37021s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=6227
*37095s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=6557
*37097s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=6565
*37101s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=6585
*37111s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=6645
*37133s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=6754
*37144s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=6817
*37193s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=7123
*37200s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=7178
*37205s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=7214
*37208s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=7239
*37212s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=7277
*37223s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=7350
*37270s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=7742
*37272s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=7759
*37281s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=7841
*37283s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=7871
*37288s: GLB=208843.841, best=4781101.000, gap=95.632%, AF=1.108, #solved=7911
